subject_ID,list_of_trr_id,gender,race,age,pb,subcats,age_band
35648.0,"640,",MALE,BLACK,24.0,1.0,5.3,20-29
35647.0,"641,642,646,",MALE,BLACK,28.0,0.0,"4.2, 3.3",20-29
234.0,"643,644,645,",MALE,BLACK,20.0,0.0,"2.0, 4.2, 5.1",20-29
235.0,"647,648,",MALE,HISPANIC,21.0,0.0,3.3,20-29
236.0,"649,650,",MALE,HISPANIC,22.0,0.0,"4.2, 3.3",20-29
237.0,"652,",MALE,BLACK,19.0,0.0,"4.2, 3.3",<20
35649.0,"653,",MALE,BLACK,22.0,0.0,"5.3, 3.3",20-29
35650.0,"654,",MALE,BLACK,25.0,0.0,4.2,20-29
35651.0,"655,",MALE,BLACK,19.0,0.0,"2.0, 5.3",<20
35652.0,"656,",MALE,BLACK,35.0,0.0,"2.0, 4.2, 3.3",30-39
35653.0,"657,",MALE,BLACK,23.0,0.0,3.3,20-29
238.0,"658,660,661,662,663,664,",MALE,BLACK,41.0,0.0,"4.2, 4.1, 3.3",40-49
239.0,"659,",MALE,BLACK,29.0,0.0,"4.2, 3.3",20-29
240.0,"665,666,",MALE,WHITE,28.0,0.0,4.2,20-29
241.0,"667,668,",MALE,BLACK,29.0,0.0,,20-29
242.0,"669,",FEMALE,BLACK,18.0,0.0,"4.2, 4.1, 3.3, 5.1",<20
243.0,"670,",MALE,BLACK,25.0,0.0,4.2,20-29
244.0,"672,",FEMALE,WHITE,29.0,1.0,4.2,20-29
245.0,"673,674,",FEMALE,WHITE,29.0,0.0,4.2,20-29
246.0,"677,",MALE,BLACK,36.0,0.0,"4.2, 3.3",30-39
247.0,"678,679,",MALE,WHITE,38.0,0.0,4.2,30-39
35654.0,"680,",MALE,HISPANIC,21.0,0.0,"4.2, 3.3",20-29
248.0,"681,",MALE,BLACK,56.0,0.0,4.2,50-59
35655.0,"682,",MALE,HISPANIC,19.0,1.0,5.3,<20
249.0,"683,684,",FEMALE,BLACK,21.0,0.0,4.2,20-29
250.0,"685,",MALE,BLACK,25.0,0.0,"2.0, 4.2",20-29
251.0,"686,",MALE,BLACK,24.0,0.0,"3.3, 5.2, 2.0, 4.2, 5.1",20-29
252.0,"688,",FEMALE,BLACK,25.0,0.0,"2.0, 3.3",20-29
253.0,"690,692,",MALE,BLACK,21.0,1.0,"4.2, 3.3",20-29
254.0,"691,",MALE,BLACK,52.0,0.0,"4.2, 3.3",50-59
255.0,"696,699,700,701,702,",MALE,WHITE,21.0,0.0,2.0,20-29
256.0,"698,",MALE,WHITE,29.0,0.0,"4.2, 3.3",20-29
257.0,"703,704,",MALE,BLACK,23.0,0.0,"4.2, 3.3",20-29
258.0,"705,",MALE,BLACK,18.0,0.0,4.2,<20
259.0,"709,712,",MALE,BLACK,23.0,0.0,"2.0, 3.3",20-29
260.0,"710,711,",MALE,BLACK,31.0,0.0,"4.2, 4.1",30-39
261.0,"713,714,715,",MALE,BLACK,24.0,0.0,"4.2, 3.3",20-29
262.0,"716,717,",MALE,BLACK,27.0,0.0,"4.2, 3.3, 5.1",20-29
263.0,"719,",MALE,BLACK,28.0,1.0,"4.2, 3.3",20-29
264.0,"720,721,",MALE,NATIVE AMERICAN/ALASKAN NATIVE,29.0,0.0,"4.2, 4.1, 3.3, 5.2",20-29
265.0,"722,",FEMALE,BLACK,37.0,1.0,"4.2, 3.3",30-39
266.0,"723,724,",MALE,HISPANIC,19.0,0.0,"4.2, 4.1",<20
267.0,"727,729,",MALE,BLACK,31.0,0.0,"4.2, 3.3",30-39
268.0,"730,731,732,",MALE,BLACK,19.0,0.0,"4.2, 3.3",<20
269.0,"733,734,",MALE,BLACK,20.0,0.0,"2.0, 4.2",20-29
270.0,"735,",MALE,WHITE,22.0,0.0,4.2,20-29
271.0,"736,",FEMALE,BLACK,18.0,0.0,"4.2, 3.3, 5.1",<20
272.0,"737,",MALE,BLACK,60.0,1.0,4.2,60-69
273.0,"740,742,",MALE,BLACK,20.0,0.0,4.2,20-29
